Tarih,tuketici_kredisi_faizi,1_aylik_mevduat_faizi,3_aylik_mevduat_faizi,usd_mevduat_faizi,eur_mevduat_faizi,tuketici_fiyat_endeksi,ito_gecinme_endeksi,reel_kesim_guven_endeksi,istihdam_orani,issizlik_orani,konut_fiyat_endeksi,toplam_sifir_konut_satisi,toplam_ikinciel_konut_satisi,resmi_rezerv_varliklari,toplam_binek_otomobil_uretimi,usd_try,eur_try,gbp_try
2020-1,14.606,9.312000000000001,10.2,1.3679999999999999,0.16799999999999998,446.45,22278.1,104.1,43.5,14.1,120.9,36040.0,77575.0,102467.0,75396.0,5.918159090909091,6.5750590909090905,7.72295
2020-2,13.834999999999999,8.9775,9.8775,1.1675,0.14250000000000002,448.02,22530.4,106.9,43.6,13.5,123.7,37303.0,81450.0,107724.0,87589.0,6.04447,6.5939000000000005,7.831265
2020-3,14.04,8.9725,10.085,0.9550000000000001,0.13,450.58,22604.2,99.7,41.9,13.0,125.4,34089.0,74581.0,92145.0,72093.0,6.314431818181817,6.988740909090908,7.81800909090909
2020-4,12.065,8.7625,10.0575,1.095,0.17250000000000001,454.43,22838.6,66.8,40.3,12.8,127.5,14848.0,27935.0,86343.0,9661.0,6.818952380952381,7.416766666666668,8.449204761904761
2020-5,10.682,7.3260000000000005,8.306000000000001,0.754,0.182,460.62,23332.7,76.9,41.0,12.6,135.9,16860.0,34076.0,90914.0,43264.0,6.951947058823529,7.559517647058823,8.543576470588235
2020-6,11.3975,6.9975,8.120000000000001,0.7625,0.2175,465.84,23348.3,92.6,43.0,13.0,139.5,58632.0,131380.0,86345.0,74264.0,6.808831818181818,7.662422727272727,8.515795454545454
2020-7,11.006,6.946000000000001,8.158,0.768,0.22999999999999998,468.56,23450.1,100.7,43.0,14.6,141.4,67937.0,161420.0,90254.0,77706.0,6.851095238095238,7.82097619047619,8.622442857142858
2020-8,14.3925,8.285,10.282499999999999,0.9775,0.3575,472.61,23589.1,106.2,43.8,13.0,144.4,52123.0,118285.0,83750.0,45211.0,7.252190000000001,8.575790000000001,9.499044999999999
2020-9,17.2725,9.5525,11.78,1.2375,0.45499999999999996,477.21,23934.8,105.3,44.0,12.4,146.7,41376.0,95368.0,79680.0,90447.0,7.507781818181818,8.86075,9.738486363636364
2020-10,18.454,10.42,12.288,1.332,0.548,487.38,24521.4,108.1,43.6,12.8,149.9,36976.0,82598.0,84526.0,95915.0,7.873880952380952,9.273704761904762,10.198980952380952
2020-11,19.865,12.64,14.0125,1.47,0.65,498.58,24997.1,103.9,42.4,12.9,152.2,36658.0,75825.0,82694.0,91067.0,8.00332380952381,9.4572,10.532980952380953
2020-12,21.915,14.64,16.052500000000002,1.4925,0.7375,504.81,25337.7,106.8,41.7,13.0,154.9,36898.0,69083.0,93589.0,92300.0,7.721065217391304,9.38417391304348,10.346430434782608
2021-1,22.116,15.664000000000001,17.526,1.486,0.704,513.3,25632.0,107.0,42.9,13.4,157.7,22268.0,48319.0,95675.0,68777.0,7.393975,9.00809,10.066385
2021-2,21.725,15.5425,17.287499999999998,1.1275,0.4325,517.96,26012.0,109.3,42.9,14.1,161.7,24737.0,56485.0,95309.0,68105.0,7.0723650000000005,8.556185,9.77764
2021-3,21.725,16.3175,17.6625,1.06,0.4125,523.53,26305.1,110.8,44.0,13.1,165.5,33365.0,77876.0,86689.0,74995.0,7.628234782608695,9.091334782608696,10.559073913043479
2021-4,23.014,17.174,18.839999999999996,1.152,0.44000000000000006,532.32,26570.7,111.0,44.2,12.9,168.8,29212.0,66651.0,87969.0,76334.0,8.155023809523808,9.733895238095238,11.262157142857143
2021-5,23.0275,17.3975,18.7875,1.1075,0.44,537.05,27015.4,110.3,43.8,12.4,175.4,18204.0,40962.0,92033.0,66976.0,8.34225,10.130661111111111,11.711883333333333
2021-6,22.3425,17.375,18.85,1.0750000000000002,0.42,547.48,27113.1,113.0,45.9,10.4,180.3,40092.0,94639.0,97692.0,62441.0,8.59668181818182,10.371213636363636,12.053581818181819
2021-7,22.151999999999997,17.322,18.8,0.9040000000000001,0.34400000000000003,557.36,27525.9,114.8,45.8,12.1,185.4,32672.0,75113.0,105760.0,33529.0,8.612941176470589,10.192188235294118,11.890870588235295
2021-8,22.1075,17.4425,18.91,0.7725,0.26,563.6,28044.3,113.9,46.2,12.0,192.7,42639.0,98761.0,117756.0,59539.0,8.475714285714286,9.978304761904761,11.686966666666667
2021-9,22.3125,17.48,19.035,0.6325000000000001,0.2225,570.66,28667.7,113.4,47.2,11.1,198.9,43967.0,103176.0,121256.0,59335.0,8.511881818181818,10.028577272727274,11.686468181818183
2021-10,22.214,16.432,17.802,0.5660000000000001,0.19,584.32,29611.7,109.6,47.2,10.7,210.2,41914.0,95487.0,123926.0,64637.0,9.139945,10.601325,12.475785
2021-11,21.990000000000002,14.95,16.2025,0.55,0.1875,604.84,31007.8,108.4,46.4,10.9,229.2,55706.0,123108.0,125587.0,70974.0,10.523263636363636,12.011395454545454,14.154399999999999
2021-12,24.154000000000003,16.01,17.44,0.62,0.22400000000000003,686.95,33998.8,106.1,46.0,11.3,247.4,76747.0,149756.0,111181.0,76570.0,13.528495652173913,15.289578260869565,17.960047826086956
2022-1,28.705000000000002,16.9675,19.2675,0.6475,0.2625,763.23,38682.3,109.5,45.4,12.1,279.9,27203.0,61103.0,109717.0,47778.0,13.519261904761905,15.314795238095238,18.30352380952381
2022-2,27.35,16.09,18.11,0.6975,0.2975,799.93,40401.4,109.8,45.8,11.4,318.0,28897.0,68690.0,110503.0,61544.0,13.621125000000001,15.443850000000001,18.412100000000002
